,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese,
128,"Home, Sweet Home","Home, Sweet Home",البيت السعيد,可爱的家,可愛的家,Oost West Thuis Best,"Home, Sweet Home",Oma Koti Kullan Kallis,"Home, Sweet Home","Home, Sweet Home",मेरा प्यारा घर,Rumahku Surgaku,Casa Dolce Casa,즐거운 나의 집,埴生の宿,Rumahku Syurgaku,Hjem KjæRe Hjem,Nie Ma To Jak W Domu,Lar Doce Lar,Lar Doce Lar,"Дом, милый дом",Hogar Dulce Hogar,Hem KäRa Hem,บ้านที่แสนอบอุ่น,Evim GüZel Evim,NgôI Nhà ThâN YêU,
129,Mazurka Op.39 No.11,Mazurka Op.39 No.11,المازوركا No.11 Op.39,玛祖卡 Op.39 No.11,瑪祖卡 Op.39 No.11,Mazurka Op.39 Nr. 11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 Nr.11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 N. 11,Mazurka Op. 39 No. 11,マズルカ Op.39-11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 Nr 11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Мазурка Op.39 №11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,Mazurka Op.39 No.11,
130,Palm Leaf Rag,Palm Leaf Rag,النخيل ورقة راغ,棕榈叶拉格,棕櫚葉拉格,Palmbladvod,Palm Leaf Rag,KäMmenlehden RäTti,Rague De Feuille De Palmier,Palm Leaf Rag,ताड़ का पत्ता चीर,Rag Daun Palem,Straccio Foglia Di Palma,팜 리프 래그,パーム・リーフ・ラグ,Rag Daun Sawit,Palmeblad Fille,Szmata LiśCi Palmowej,Pano De Folha De Palmeira,Pano De Folha De Palmeira,Пальмовый рэг,Trapo de Hoja de Palma,Palmblad Trasa,ผ้าขี้ริ้ว,Palmiye Yaprağı Bezi,Lá Cọ Giẻ RáCh,
131,Troika E Major,Troika E Major,في تريوكة نوفمبر,在十一月的马车上,在十一月的馬車上,Troika E Major,Troika E Major,Troika E Majuri,Troika E Major,Troika E Major,ट्रोइका ई मेजर,Troika E Mayor,Troika E Major,트로키아 E장,トロイカ ホ長調,Troika E Major,Troika E Major,Troika E Major,Troika E Major,Troika E Major,Ноябрь На тройке,Troika E Mayor,Troika E Major,Troika e Major,Troika E MajöR,Troika E Major,
132,Old Folks at Home,Old Folks at Home,أهالي البلدة,故乡的亲人,故鄉的親人,Oude Mensen Thuis,Old Folks At Home,Vanhat Ihmiset Kotona,Les Vieux À La Maison,Old Folks at Home,घर पर पुराने लोग,Orang Tua Di Rumah,Vecchi a Casa,Old Folks at Home,故郷の人々,Orang Tua Di Rumah,Gamle Folk Hjemme,Starzy Ludzie W Domu,Velhos Em Casa,Velhos Em Casa,Старики дома,Viejos en Casa,Gamla MäNniskor Hemma,คนชราที่บ้าน,Evde YaşLı Insanlar,NhữNg NgườI Già ở Nhà,
133,Hunting Song,Hunting Song,أغنية الصيد,猎歌,獵歌,Jachtlied,Hunting Song,MetsäStyslaulu,Chanson De Chasse,Hunting Song,शिकार गीत,Lagu Berburu,Canzone Da Caccia,사냥꾼의 노래,ハンティング・ソング,Lagu Memburu,Jaktsang,Pieśń MyśLiwska,MúSica De CaçA,MúSica De CaçA,Охотничья песня,Canción de Caza,JaktsåNg,เพลงล่าสัตว์,Av şArkıSı,BàI HáT SăN BắN,
134,Fall,Fall,سقوط,落,落,Val,Fall,Putoaminen,Automne,Fall,गिरना,Jatuh,Autunno,추락,フォール,Jatuh,Falle,Jesień,Cair,Cair,Осень,Caer,Falla,ตก,DüşMek,Ngã,
135,Romance,Romance,الرومانسيات,浪漫曲,浪漫曲,Romantiek,Romance,Romanssi,Romance,Romance,रोमांस,Percintaan,Romanza,로맨스,ロマンス,Romantik,Romanse,Romans,Romance,Romance,Романс,Romance,Romantik,ความรัก,Romantik,LãNg MạN,
136,Soldaten Marsch,Soldaten Marsch,جنود يسيرون,士兵进行曲,士兵進行曲,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,सोल्डन मार्श,Soldaten Marsch,Soldaten Marsch,병사들의 행진곡,兵隊の行進曲,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,Солдатский марш,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,Soldaten Marsch,
137,Non Piu Andrai,Non Piu Andrai,غير وحدة التحقيق,你再不要去做情郎,你再不要去做情郎,Non Piu Andrai,Non Piu Andrai,Ei Piu Andrai,Non Piu Andrai,Non Piu Andrai,नॉन पियु एंड्राई,Non Piu Andrai,Non Piu Andrai,더 이상 날지 못하리,もう飛ぶまいぞこの蝶々,Bukan Piu Andrai,Non Piu Andrai,Non Piu Andrai,NãO Piu Andrai,NãO Piu Andrai,Не уйдешь,Non Piu Andrai,Non Piu Andrai,ไม่ใช่ Piu Andrai,Piu Olmayan Andrai,KhôNg Piu Andrai,
138,"Long, Long Ago","Long, Long Ago",منذ فترة طويلة طويلة,多年以前,多年以前,Lang Lang Geleden,"Long, Long Ago",Kauan Kauan Sitten,Il Y A Longtemps,"Long, Long Ago",लंबे समय पहले,Dahulu Kala,"Molto, Molto Tempo Fa",옛날에,久しき昔,Pada Zaman Dahulu,Lenge Lenge Siden,Dawno Dawno Temu,"Há Muito, Muito Tempo","Há Muito, Muito Tempo",Давным-давно,"Hace Mucho, Hace Mucho Tiempo",LäNge LäNge Sedan,นานมาแล้ว,"Uzun, Uzun Zaman öNce",RấT LâU RồI,
139,Rondo A Major,Rondo a Major,روندو في سلم لا الكبير,A大调回旋曲,A大調迴旋曲,Rondo Een Major,Rondo A Major,Rondo Major,Rondo Un Major,Rondo a Dur,रोंडो एक प्रमुख,Rondo A Mayor,Rondo Un Maggiore,론도 A 단조,ロンド イ長調,Rondo A Major,Rondo En Major,Rondo Major,Rondo Um Major,Rondo Um Major,Рондо ля мажор,Rondo un Importante,Rondo En Major,rondo สำคัญ,Rondo Bir MajöR,Rondo MộT ChuyêN NgàNh,
140,March from Norma,March from Norma,المسيرة من نورما,诺尔玛大进行曲,諾爾瑪大進行曲,Mars Vanuit Norma,March From Norma,Maaliskuu Normasta,Marche De Norma,March from Norma,नोर्मा से मार्च,Maret Dari Norma,Marzo Da Norma,March from Norma,ノルマの行進曲,Mac Dari Norma,Mars Fra Norma,Marsz Z Normę,MarçO De Norma,MarçO De Norma,Марш из Нормы,Marcha Desde Norma,Mars FråN Norma,เดินขบวนจากนอร์มา,Norma'Dan Mart,TháNg Ba Từ Norma,
141,The music box,The Music Box,صندوق الموسيقي,八音盒,八音盒,De Muziekdoos,The Music Box,Musiikkikeskus,La Boîte À Musique,The Music Box,संगीत बॉक्स,Kotak Musik,La Scatola Della Musica,음악 상자,ミュージックボックス,Kotak Muzik,Musikkboksen,PudełKo Muzyczne,A Caixa De MúSica,A Caixa De MúSica,Музыкальная шкатулка,La Caja de la Música,MusiklåDan,กล่องดนตรี,MüZik Kutusu,HộP NhạC,
142,Barcarolle d'Hoffmann,Barcarolle D'Hoffmann,حكايات هوفمان,霍夫曼船歌,霍夫曼船歌,Barcarolle D'Hoffmann,Barcarolle D'Hoffmann,Barcarolle D'Hoffmann,Barcarolle D'Hoffmann,Barcarolle D'Hoffmann,बारकारोल डी'ओफमैन,Barcarolle D'Hoffmann,Barcarolle D'hoffmann,Barcarolle d'Hoffmann,ホフマンの舟歌,Barcarolle D'Hoffmann,Barcarolle D'Hoffmann,Barcarolle D'Hoffmann,Barcarolle D'Hoffmann,Barcarolle D'Hoffmann,Сказки Гофмана,Barcarolle D'hoffmann,Barcarolle D'Hoffmann,Barcarolle d'Hoffmann,Barcarolle D'Hoffmann,Barcarolle D'Offmann,
143,Restless Galop,Restless Galop,غلوب لا يهدأ,不停息的加洛普舞曲,不停息的加洛普舞曲,Rusteloze Galop,Restless Galop,Levoton Galop,Galop Agité,Restless Galop,बेचैन,Galop Yang Gelisah,Galop Irrequieto,쉬지 않는 갤럽,L. ストリーボッグ,Galop Gelisah,RastløS Galop,Niespokojny Galop,Galop Inquieto,Galop Inquieto,Беспокойный галоп,Galop Inquieto,RastlöS Galopp,Galop ที่ไม่สงบ,Huzursuz Galop,Galop KhôNg NgừNg Nghỉ,
144,Prelude in g minor BWV930,Prelude in G Minor BWV930,مقدمة في سلم صول الصغير Bwv930,G小调小前奏曲,G小調小前奏曲,Prelude In G Minor Bwv930,Prelude In G Minor Bwv930,Prelude In G -Minor Bwv930,Prélude En G Mineur Bwv930,Prelude in G Moll Bwv930,जी माइनर BWV930 में प्रस्तावना,Prelude In G Minor Bwv930,Preludio in G Minore Bwv930,Prelude in G minor BWV 930,練習曲 ト短調 BWV930,Prelude Dalam G Minor Bwv930,Prelude In G Minor Bwv930,Preludium W G -Moll Bwv930,PrelúDio Em G Menor Bwv930,PrelúDio Em G Menor Bwv930,Прелюдия BWV930,Preludio en G Menor Bwv930,Prelude I G Mindre Bwv930,โหมโรงใน G Minor BWV930,G MinöR Bwv930'Da Prelude,Prelude Trong G Minor Bwv930,
145,Elite Syncopations,Elite Syncopations,اختزال النخبة,精彩的切分音,精彩的切分音,Elite -Syncopaties,Elite Syncopations,Eliitin Synkronointi,Syncopations D'Élite,Elite Syncopations,कुलीन वर्ग,Sinkronisasi Elite,Sincope D'élite,엘리트 싱코페이션,エリート・シンコペーションズ,Syncopations Elite,Elite Synkopasjoner,Elitarne Synchronizacje,SincopaçõEs De Elite,SincopaçõEs De Elite,Элитные синкопации,Sincopaciones de Élite,Elitesynkopationer,การซิงโครชั่นชั้นยอด,Elit Senkoplar,ĐồNg Bộ HóA ưU Tú,
146,Andante from Orfeo ed Euridice,Andante from Orfeo Ed Euridice,بيطء معتدل من أورفيوس إلى يودرس,行板,行板,Andante Van Orfeo Ed Euridice,Andante From Orfeo Ed Euridice,Andante Orfeo Ed Euridice,Andante D'Orfeo Ed Euridice,Andante from Orfeo Ed Euridice,ऑर्फियो एड यूरिडिस से एंडेंट,Andante Dari Orfeo Ed Euridice,Andante Da Orfeo Ed Euridice,안단테,オルフェオとエウリディーチェ,Andante Dari Orfeo Ed Euridice,Andante Fra Orfeo Ed Euridice,Andante Z Orfeo Ed Euridice,Andante De Orfeo Ed Euridice,Andante De Orfeo Ed Euridice,Орфей и Эвридика,Andante de Orfeo Ed Euridice,Andante FråN Orfeo Ed Euridice,Andante จาก Orfeo Ed Euridice,Orfeo Ed Euridice'Den Andante,Andante Từ Orfeo Ed Euridice,
147,Magnetic Rag,Magnetic Rag,خرقة المغناطيسي,吸引力拉格泰姆,吸引力拉格泰姆,Magnetische Doek,Magnetic Rag,Magneettinen RäTti,Chiffon Magnétique,Magnetic Rag,चुंबकीय चीर,Kain Magnetik,Straccio Magnetico,자석 래그,マグネティック・ラグ,Kain Magnet,Magnetisk Fille,Szmata Magnetyczna,Pano MagnéTico,Pano MagnéTico,Магнитный рэг,Trapo Magnético,Magnetisk Trasa,ผ้าขี้ริ้ว,Manyetik Bez,GiếT Từ TíNh,
148,Starlight Waltz,Starlight Waltz,فالس ضوء النجوم,星光圆舞曲,星光圓舞曲,Starlight Waltz,Starlight Waltz,Starlight Waltz,Starlight Waltz,Starlight Waltz,स्टारलाइट वाल्ट्ज,Starlight Waltz,Starlight Waltz,별빛 왈츠,スターライト・ワルツ,Starlight Waltz,Starlight Waltz,Starlight Waltz,Valsa Da Luz Das Estrelas,Valsa Da Luz Das Estrelas,Звездный вальс,Waltz de Starlight,Starlight Waltz,วอลทซ์สตาร์ไลท์,Starlight Waltz,Starlight Waltz,
149,Les Sylphes,Les Sylphes,الرشيقات,精灵,精靈,Les Sylphes,Les Sylphes,Les Sylphes,Les Sylphes,Les Sylphes,लेस सिल्फेस,Les Sylphes,Les Sylphes,Les Sylphes,空気の精,Les Sylphes,Les Sylphes,Les Sylphes,Les Sylphes,Les Sylphes,Лесные нимфы,Les Sylphes,Les Sylphes,Les Sylphes,Les Sylfes,Les Sylphes,
150,Va pensiero,Va Pensiero,جوقة السجين,囚徒合唱,囚徒合唱,Va Pensiero,Va Pensiero,Va Pensiero,Va Pensiero,Va Pensiero,वा पेन्सिएरो,Va Pensiero,Va Pensiero,Va pensiero,ナブッコ,Va Pensiero,Va Pensiero,Va Pensiero,Va Pensiero,Va Pensiero,"Лети, мысль",Va Pensiero,Va Pensiero,Va Pensiero,Va Pensiero,Va Pensiero,
151,Wiener March,Wiener March,مسيرة بيينا,维也纳进行曲,維也納進行曲,Wiener Maart,Wiener March,Wiener -Maaliskuu,Wiener March,Wiener March,वीनर मार्च,Wiener March,Wiener March,빈 행진곡,ウィーン行進曲,Wiener March,Wiener March,Marsz Wiener,Wiener MarçO,Wiener MarçO,Венский марш,Marcha de Wiener,Wiener Marsch,Wiener March,Wiener Mart,Wiener March,
152,Emperor Waltz Op.437,Emperor Waltz Op.437,فالس الإمبراطور Op.437,皇帝圆舞曲,皇帝圓舞曲,Keizer Waltz Op.437,Emperor Waltz Op.437,Keisari Waltz Op.437,Emperor Waltz Op.437,Emperor Waltz Op.437,सम्राट वाल्ट्ज ओप .437,Kaisar Waltz Op.437,Imperatore Waltz Op.437,Emperor Waltz Op. 437,皇帝円舞曲 Op.437,Maharaja Waltz Op.437,Emperor Waltz Op.437,Cesarz Waltz Op.437,Imperador Waltz Op.437,Imperador Waltz Op.437,Императорский вальс Оп.437,Emperador Waltz Op.437,Kejsare Waltz Op.437,จักรพรรดิวอลทซ์ op.437,İMparator Waltz Op.437,HoàNg đế Waltz Op.437,
153,Rondo allegretto Op.168 No.1,Rondo Allegretto Op.168 No.1,الروندو No.1 Op.168,回旋曲 Op.168 No.1,迴旋曲 Op.168 No.1,Rondo Allegretto Op.168 Nr. 1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 Nr.1,रोंडो एलेग्रेटो ओपी .168 नंबर 1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 N. 1,Rondo Allegretto Op. 168 No. 1,ロンド・アレグレット Op.168-1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 Nr 1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 No.1,Рондо аллегретто Оп. 168 №1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 No.1,Rondo Allegretto Op.168 No.1,
154,Andante from Concerto No.21,Andante from Concerto No.21,ببطء معتدل من كونشرتو No.21,第二十一协奏曲 行板,第二十一協奏曲 行板,Andante Van Concerto No.21,Andante From Concerto No.21,Andante Konsertosta Nro 21,Andante Du Concerto N ° 21,Andante from Concerto Nr.21,कॉन्सर्टो नंबर 2 से एंडेंटे,Andante Dari Concerto No.21,Andante Dal Concerto N. 21,Andante from Concerto No. 21,ピアノ協奏曲第21番,Andante Dari Concerto No.21,Andante Fra Concerto No.21,Andante Z Koncertu Nr 21,Andante Do Concerto No.21,Andante Do Concerto No.21,Аданте из концерта №21,Andante del Concierto No.21,Andante FråN Concerto No.21,Andante จาก Concerto No.21,Concerto No.21'Den Andante,Andante Từ Concerto Số 21,
155,Alles fuhlt der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,وترى كل شيء مباهج الحب,所有生物都感受到爱的狂喜,所有生物都感受到愛的狂喜,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fühlt der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles fuhlt der Liebe Freuden,魔笛,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Все чувствует радость любви,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,Alles Fuhlt Der Liebe Freuden,
156,Rondo in C Major Op.51 No.1,Rondo in C Major Op.51 No.1,روندو في سلم دو الكبير No.1 Op.51,C大调回旋曲 Op.51 No.1,C大調迴旋曲 Op.51 No.1,Rondo In C Major Op.51 Nr. 1,Rondo In C Major Op.51 No.1,Rondo C -Majuri Op.51 No.1,Rondo En C Major Op.51 N ° 1,Rondo in C Dur Op.51 Nr.1,सी मेजर ओप .51 नंबर 1 में रोंडो,Rondo Di C Mayor Op.51 No.1,Rondo in C Maggiore Op.51 N. 1,론도 다장조 Op.51 No.1,ロンド ハ長調 Op.51-1,Rondo Di C Major Op.51 No.1,Rondo I C Major Op.51 No.1,Rondo W C Major Op.51 Nr 1,Rondo Em C Major Op.51 No.1,Rondo Em C Major Op.51 No.1,Рондо до мажор Op.51 №1,Rondo en C Major Op.51 No.1,Rondo I C Major Op.51 No.1,Rondo ใน C Major Op.51 No.1,C Major Op.51 No.1'De Rondo,Rondo Trong C ChíNh Op.51 Số 1,
157,Rondo alla Turca Op.68 No.3,Rondo Alla Turca Op.68 No.3,الروندو التركي No.3 Op.68,土耳其风格回旋曲,土耳其風格迴旋曲,Rondo Alla Turca Op.68 Nr. 3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 Nr.3,रोंडो अल्ला टर्का ओप .68 नंबर 3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 No.3,Rondo alla Turca Op. 68 No. 3,トルコ風ロンド Op.68-3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 Nr 3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 No.3,Турецкое рондо Op.68 №3,Rondo Alla Tura Op.68 No.3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 No.3,Rondo Alla Turca Op.68 No.3,
158,Remembrance Op.68 No.28,Remembrance Op.68 No.28,ذكرى No.28 Op.68,回忆,回憶,Herinnering Op.68 Nr. 28,Remembrance Op.68 No.28,Muistot Op.68 No.28,Souvenir Op.68 No.28,Remembrance Op.68 Nr.28,स्मरण op.68 No.28,Peringatan Op.68 No.28,Remembrance Op.68 N. 28,Remembrance Op. 68 No. 28,追憶 Op.68-28,Peringatan Op.68 No.28,Remembrance Op.68 No.28,Pamięć Op. 68 Nr 28,LembrançA Op.68 No.28,LembrançA Op.68 No.28,Воспоминание Оп. 68 №28,Recuerdo Op.68 No.28,Remembrance Op.68 No.28,Remembrance Op.68 No.28,Anma Op.68 No.28,TưởNg Nhớ Op68 Số 28,
159,Old King Cole,Old King Cole,قديم كينغ كول,老国王科尔,老國王科爾,Oude Koning Cole,Old King Cole,Vanha Kuningas Cole,Old King Cole,Old King Cole,ओल्ड किंग कोल,King Cole Tua,Vecchio Re Cole,Old King Cole,オールド・キング・コール,Old King Cole,Gamle Kong Cole,Stary KróL Cole,Velho Rei Cole,Velho Rei Cole,Старый король Коул,Viejo Rey Cole,Old King Cole,กษัตริย์โคล,Eski Kral Cole,Vua Già Cole,
160,String Quartet No.13 D.804,String Quartet No.13 D.804,الرباعي في سلم لا الصغير No.13,A小调弦乐四重奏 No.13,A小調弦樂四重奏 No.13,Stringkwartet Nr. 13 D.804,String Quartet No.13 D.804,Merkkijonokvartetti Nro 13 D.804,String Quartet No.13 D.804,String Quartet Nr.13 D.804,स्ट्रिंग चौकड़ी नं .13 D.804,String Quartet No.13 D.804,String Quartet No.13 D.804,String Quartet No. 13 D. 804,弦楽四重奏曲第13番 D.804,String Quartet No.13 D.804,Strengkvartett No.13 D.804,Kwartet Smyczkowy Nr 13 D.804,Quarteto De Cordas No.13 D.804,Quarteto De Cordas No.13 D.804,Струнный квартет №13 Д. 804,Cuarteto de Cadena No.13 D.804,Stringkvartett Nr 13 D.804,String Quartet No.13 D.804,String Quartet No.13 D.804,Bộ Tứ ChuỗI Số 13 D.804,
161,Anita's Dance,Anita's Dance,رقص أنيتا,安妮塔舞曲,安妮塔舞曲,Anita'S Dans,Anita'S Dance,Anitan Tanssi,La Danse D'Anita,Anita'S Dance,अनीता का नृत्य,Tarian Anita,La Danza Di Anita,안타의 춤,アニトラの踊り,Tarian Anita,Anitas Dans,Taniec Anity,A DançA De Anita,A DançA De Anita,Танец Аниты,Danza de Anita,Anitas Dans,การเต้นรำของแอนนิต้า,Anita'NıN Dansı,ĐIệU NhảY CủA Anita,
162,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,جانغسيونغ تريست No.2 Op.40,悲歌,悲歌,Chanson Triste Op.40 Nr. 2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 Nr.2,चैनसन ट्रिस्टे ओपी .40 नंबर 2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 N. 2,Chanson Triste Op. 40 No. 2,悲しい歌 Op.40-2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 Nr 2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,Грустная песня Op.40 №2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,
163,La Serenata,La Serenata,لحن غرامي,天使小夜曲,天使小夜曲,La Serenata,La Serenata,La Serenata,La Serenata,La Serenata,ला सेरेनाटा,La Serenata,La Serenata,세레나데,セレナータ,La Serenata,La Serenata,La Serenata,La Serenata,La Serenata,Серенада,La Serenata,La Serenata,La Serenata,La Serenata,La Serenata,
164,Valse Op.83 No.1,Valse Op.83 No.1,الفالس No.1 Op.83,圆舞曲 Op.83 No.1,圓舞曲 Op.83 No.1,Valse Op.83 Nr. 1,Valse Op.83 No.1,Valse Op.83 No.1,Valse Op.83 N ° 1,Valse Op.83 Nr.1,Valse Op.83 No.1,Valse Op.83 No.1,Valse Op.83 N. 1,Valse Op. 83 No. 1,ワルツ（Valse) Op.83-1,Valse Op.83 No.1,Valse Op.83 No.1,Valse Op.83 Nr 1,Valse Op.83 No.1,Valse Op.83 No.1,Вальс Оп. 83 №1,Valse Op.83 No.1,Valse Op.83 No.1,Valse Op.83 No.1,Valse Op.83 No.1,Valse Op.83 Số 1,
165,Le Coucou,Le Coucou,الوقواق,布谷鸟,布穀鳥,Le Coucou,Le Coucou,Le Coucou,Le Coucou,Le Coucou,ले कुओकौ,Le Coucou,Le Coucou,뻐꾸기,かっこう,Le Coucou,Le Coucou,Le Coucou,Le Coucou,Le Coucou,Кукушка,Le Cocou,Le Coucou,Le Coucou,Le Coucou,Le Coucou,
166,Gavotte from Op.183 No.1,Gavotte from Op.183 No.1,رقصة الغافوتية No.1 Op.183,加沃特 Op.183 No.1,加沃特 Op.183 No.1,Gavotte Van Op.183 No.1,Gavotte From Op.183 No.1,Gavotte Op.183 No.1,Gavotte D'Op.183 N ° 1,Gavotte from Op.183 Nr.1,Op.183 नंबर 1 से Gavotte,Gavotte Dari Op.183 No.1,Gavotte Dall'op.183 N. 1,Gavotte from Op. 183 No. 1,ガボット Op.183-1,Gavotte Dari Op.183 No.1,Gavotte Fra Op.183 No.1,Gavotte Z Op.183 Nr 1,Gavotte Da Op.183 No.1,Gavotte Da Op.183 No.1,Гавот Оп. 183 №1,Gavotte de Op.183 No.1,Gavotte FråN Op.183 No.1,Gavotte จาก Op.183 No.1,Op.183 No.1'Den Gavotte,Gavotte Từ Op.183 Số 1,
167,Courante HWV 440,Courante HWV 440,التيار Hwv440,库朗特 Hwv 440,庫朗特 Hwv 440,Courante Hwv 440,Courante Hwv 440,Courante Hwv 440,Courante Hwv 440,Courante Hwv 440,कोर्टेंट एचडब्ल्यूवी 440,Courante Hwv 440,Courante HWV 440,Courante HWV 440,クーラント HWV 440,Courante Hwv 440,Courante Hwv 440,Courante Hwv 440,Courante Hwv 440,Courante Hwv 440,Куранта HWV 440,Courante Hwv 440,Courante Hwv 440,Courante HWV 440,Courante Hwv 440,Courante Hwv 440,
168,The Laughing Song,The Laughing Song,أغنية الضحك,笑之歌,笑之歌,Het Lachende Lied,The Laughing Song,Naurava Kappale,La Chanson Qui Rit,The Laughing Song,हंसी गीत,Lagu Tertawa,La Canzone Ridente,The Laughing Song,ラーフィング・ソング,Lagu Ketawa,Den Latterlige Sangen,ŚMiech Piosenki,A MúSica Rindo,A MúSica Rindo,Смеющаяся песня,La Canción de Risa,The Laughing Song,เพลงหัวเราะ,GüLen ŞArkı,BàI HáT CườI,
169,Sonata in d minor K.9,Sonata in D Minor K.9,التيار Hwv440,D小调奏鸣曲 K.9,D小調奏鳴曲 K.9,Sonate In D Minor K.9,Sonata In D Minor K.9,Sonaatti D -Moll K.9: Ssä,Sonate En D Mineur K.9,Sonata in D Moll K.9,डी माइनर K.9 में सोनाटा,Sonata Di D Minor K.9,Sonata in D Minore K.9,Sonata in D minor K. 9,ソナタ ニ短調 K.9,Sonata Di D Minor K.9,Sonata I D -MindreåRig K.9,Sonata W D -Moll K.9,Sonata Em D Menor K.9,Sonata Em D Menor K.9,Соната ре минор К9,Sonata en D Minor K.9,Sonata I D -Moll K.9,Sonata ใน D รอง K.9,D Minor K.9'Da Sonata,Sonata Trong D Minor K.9,
170,Serenata Op.15 No.1,Serenata Op.15 No.1,اللحن الغرامي No.1 Op.15,小夜曲 Op.15 No.1,小夜曲 Op.15 No.1,Serenata Op.15 Nr. 1,Serenata Op.15 No.1,Serenata Op.15 No.1,Serenata Op.15 No.1,Serenata Op.15 No.1,सेरेनाटा ओपी .15 नंबर 1,Serenata Op.15 No.1,Serenata Op.15 N. 1,Serenata Op. 15 No. 1,セレナータ Op.15-1,Serenata Op.15 No.1,Serenata Op.15 No.1,Serenata Op.15 Nr 1,Serenata Op.15 No.1,Serenata Op.15 No.1,Серенада Оп. 15 №1,Serenata Op.15 No.1,Serenata Op.15 No.1,Serenata Op.15 No.1,Serenata Op.15 No.1,Serenata Op.15 No.1,
171,Waltz in E flat Op.18 No.1,Waltz in E Flat Op.18 No.1,فالس في سلم مي منخفض الكبير,降E大调圆舞曲,降E大調圓舞曲,Wals In E Flat Op.18 Nr. 1,Waltz In E Flat Op.18 No.1,Waltz In Flat Op.18 No.1,Waltz In E Flat Op.18 No.1,Waltz in E Flat Op.18 Nr.1,वॉल्ट्ज ई फ्लैट ओप .18 नंबर 1,Waltz Di E Flat Op.18 No.1,Waltz in E Flat Op.18 No.1,Waltz in E flat Op. 18 No. 1,ワルツ 変ホ長調 Op.18-1,Waltz Di E Flat Op.18 No.1,Waltz I E Flat Op.18 No.1,Waltz In E Flat Op.18 Nr 1,Valsa Em E Flat Op.18 No.1,Valsa Em E Flat Op.18 No.1,Вальс ми-бемоль Оп.18 №1,Vals In E Plano Op.18 No.1,Waltz I E Flat Op.18 No.1,Waltz ใน E Flat Op.18 No.1,"Waltz, E Flat Op.18 No.1",Waltz Trong E Flat Op.18 No.1,
